Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
505,35.0,177.0,70.0,Gleison Tibau,31.0,180.0,70.0,Norman Parke,DEC,blue
506,32.0,180.0,77.0,Lorenz Larkin,35.0,170.0,77.0,John Howard,KO/TKO,blue
507,34.0,172.0,56.0,Shane Howell,30.0,177.0,56.0,Paddy Holohan,DEC,red
508,27.0,167.0,56.0,Joby Sanchez,32.0,170.0,56.0,Tateki Matsuda,DEC,blue
509,31.0,177.0,70.0,Chris Wade,28.0,180.0,70.0,Zhang Lipeng,DEC,blue
510,35.0,185.0,93.0,Sean O'Connell,32.0,195.0,93.0,Matt Van Buren,KO/TKO,blue
511,29.0,175.0,65.0,Sean Soriano,32.0,175.0,65.0,Charles Rosa,SUB,red
512,29.0,180.0,70.0,Frankie Perez,29.0,177.0,70.0,Johnny Case,KO/TKO,red
513,35.0,182.0,84.0,Nick Diaz,43.0,187.0,84.0,Anderson Silva,DEC,no contest
514,27.0,190.0,84.0,Andy Enz,34.0,187.0,93.0,Thiago Santos,KO/TKO,red
515,35.0,175.0,77.0,Thiago Alves,28.0,182.0,77.0,Jordan Mein,KO/TKO,blue
516,35.0,187.0,84.0,Ildemar Alcantara,34.0,187.0,84.0,Richardson Moreira,DEC,blue
517,38.0,167.0,61.0,Sara McMann,32.0,167.0,61.0,Miesha Tate,DEC,red
518,26.0,175.0,84.0,Kelvin Gastelum,36.0,175.0,77.0,Tyron Woodley,DEC,red
519,36.0,185.0,84.0,Tom Watson,35.0,182.0,84.0,Rafael Natal,DEC,red
520,37.0,182.0,84.0,Tim Boetsch,37.0,185.0,84.0,Thales Leites,SUB,red
521,31.0,175.0,70.0,Al Iaquinta,34.0,177.0,70.0,Joe Lauzon,KO/TKO,blue
522,28.0,160.0,61.0,John Lineker,34.0,165.0,56.0,Ian McCall,DEC,blue
523,34.0,185.0,84.0,Derek Brunson,38.0,185.0,93.0,Ed Herman,KO/TKO,blue
524,,,,Cat Zingano,31.0,170.0,61.0,Ronda Rousey,SUB,red
525,40.0,177.0,77.0,Josh Koscheck,33.0,175.0,77.0,Jake Ellenberger,SUB,red
526,29.0,182.0,77.0,Richard Walsh,36.0,182.0,77.0,Alan Jouban,KO/TKO,red
527,36.0,172.0,65.0,Holly Holm,30.0,170.0,61.0,Raquel Pennington,DEC,blue
528,40.0,180.0,77.0,Roan Carneiro,40.0,182.0,84.0,Mark Munoz,SUB,blue
